번호, 제목, 등록일
1,2015년 전자정보대학 하계방학 중 S/W 실무교육 최종명단 안내,2015-06-30
2,2015학년도 하계 방학중 단축근무 안내,2015-07-02
3,2015학년도 2학기 수강희망과목담기 2차 안내,2015-07-17
4,2015-2학기 통합고시반 입사생 선발 관련 홍보,2015-07-23
5,<2015년 2학기 수업 변경 안내>,2015-07-29
6,공학교육인증 전문프로그램 신청 및 포기 안내,2015-07-29
7,2015학년도 2학기 수강신청 시행 안내,2015-08-03
8,2015학년도 2학기 분할납부 안내(국제),2015-08-18
9,2015학년도 2학기 등록안내 (졸업유예자),2015-08-18
10,2014학년도 후기 학위수여식 안내,2015-08-18
11,<2015년 하계 방중 기초실무교육 수료자 안내>,2015-08-18
12,2015학년도 2학기 창업대체학점 인정 신청 안내,2015-08-25
13,창업대체학점 인정제도 시행지침 안내,2015-08-25
14,2015학년도 전자정보대학 행정실 워크샵 행사 안내,2015-09-04
15,2015년도 고속도로 장학금 지급 안내 홍보 요청,2015-09-10
16,2015-2학기 진로상담교수제 시행 안내,2015-09-16
17,2015학년도 2학기 학점포기 신청 안내,2015-09-16
18,전자정보대학 행정실 레이아웃 변경에 따른 업무중지 안내,2015-09-22
19,제4회 TOPCIT 정기평가 안내,2015-09-23
20,2015-2학기 사랑드림장학(블리자드) 2차 신규장학생 선발 안내,2015-09-23
21,제4회 TOPCIT 정기평가 ,2015-09-23
22,2015년 2학기 하이서울장학금 대학분야 장학생 선발 공고,2015-09-25
23,국가공인 소프트웨어자산관리사 자격시험 안내_한국소프트...,2015-09-25
24,2015년 하반기 전남인재육성장학생 선발 안내,2015-10-01
25,2016학년도 일주학술문화재단 장학생 선발 공고,2015-10-02
26,2015학년도 전기 졸업사정대상자 예비졸업사정 시행 안내,2015-10-06
27,2015년 국제캠퍼스 대학직장예비군 보충훈련 공고,2015-10-06
28,2015학년도 2학기 다전공/트랙 이수 신청 및 포기 안내,2015-10-06
29,제 증명 발급 로그인 방식 변경,2015-10-06
30,KEA 정부3.0 공공데이터 활용 경진대회 안내,2015-10-06
31,클라우드 기반의 국민 소프트웨어 개발 공모전 안내 (10.26 마...,2015-10-06
32,2015학년도 2학기 부전공 및 조기졸업 신청안내,2015-10-08
33,<2015년도 하반기 공채대비 모의면접>-취업진로지원처,2015-10-13
34,2015학년도 2학기 핵심교양 이수면제 시행안내,2015-10-16
35,2015년 서울장학재단 글로벌인재장학금 장학생 선발 안내,2015-10-16
36,“컴퓨터공학과 발전장학금” 신청 안내,2015-10-27
37,2015 우수벤처기업 캠퍼스 리크루팅 투어 안내,2015-10-30
38,2015 공학교육페스티벌 개최 안내,2015-11-05
39,< 2015학년도 2학기 장학팀 우정(가계곤란)장학금 신청안내&...,2015-11-16
40,공학교육인증프로그램 신청 및 포기 안내,2015-11-18
41,제1회 경희대학교 컴퓨터공학과 소프트웨어 경진대회 안내,2015-12-02
42,[서울어코드]2015동계방학 현장연수활동(인턴쉽) 신청 안내 ,2015-12-02
43,[참고자료] 연구연수활동 양식,2015-12-07
44, 2016학년도 1학기 국가장학금 신청,2015-12-14
45,2015년 전자정보대학 동계방학 중 S/W 실무교육 신청안내,2015-12-15
46,2015년 동계방중 SW 실무교육 명단 안내,2015-12-23
47,[장학] 2016-1학기 교내장학금 신청 안내,2015-12-24
48,2016학년도 1학기 예비군 편성신고 안내,2015-12-31
49,공학교육인증 전문프로그램 신청 및 포기 안내,2016-01-21
50,<학점포기제도 운영지침 변경 안내>,2016-01-28
51,2016학년도 1학기 수강신청 일정 안내,2016-01-29
52,2016학년도 1학기 수강신청 일정 안내,2016-02-01
53,테크노경영대학원 조교 모집,2016-02-01
54,프로그래밍기초 컴퓨터공학개론 수강신청 공지,2016-02-03
55,2015학년도 전기 학위수여식 안내,2016-02-16
56,공학교육인증 전문프로그램 신청 및 포기 안내,2016-02-23
57,2016-1학기 2차 국가장학금 신청 안내,2016-02-26
58,<2015년 동계 방중 SW기초실무교육 수료자 안내>,2016-03-02
59,2016-1학기 "시스템분석및설계" 추가 개설 안내,2016-03-04
60,[장학] 2016-1학기 신입생 경희동문장학 경희형재자매장학 ...,2016-03-07
61,[장학] 2016-1 세아해암학술재단 장학생 선발 안내,2016-03-07
62,2016-1학기 학점포기 신청 안내(경과조치 적용 안내),2016-03-07
